token,logprob_actual,logprob_max,entropy,most_likely_token
B,-3.546454429626465,-1.8125848770141602,4.67125940322876,1
:,-11.321185111999512,-1.411238670349121,2.981560707092285,und
Ġ(,-5.526364803314209,-2.3628158569335938,6.873802185058594,Ġ
In,-5.897531032562256,-1.5310472249984741,5.365761756896973,1
ĠSch,-8.257116317749023,-1.525809407234192,4.539976596832275,halt
rift,-0.8298506140708923,-0.8298506140708923,3.0771634578704834,rift
spr,-7.898714542388916,-1.0034023523330688,2.372774124145508,form
ache,-0.0032693292014300823,-0.0032693292014300823,0.03443271294236183,ache
.),-6.332123756408691,-1.5737154483795166,3.6170730590820312,Ġab
ĠJa,-8.030574798583984,-2.668642520904541,5.7078471183776855,Ġ(
",",-0.4968162775039673,-0.4968162775039673,1.8771800994873047,","
ĠnatÃ¼rlich,-4.944121360778809,-1.8393027782440186,4.816131591796875,Ġich
.,-1.4530835151672363,-1.133985996246338,3.1070454120635986,","
ĠJ,-5.620074272155762,-2.201543092727661,4.538752555847168,ĠIch
eden,-1.1545917987823486,-0.9769537448883057,2.2139105796813965,eder
ĠM,-5.2138447761535645,-0.16376635432243347,0.8507264852523804,falls
orgen,-0.03878386318683624,-0.03878386318683624,0.2467922866344452,orgen
Ġbegin,-5.493654251098633,-1.3300944566726685,4.186413764953613,","
ne,-1.3683847188949585,-0.6581796407699585,1.1917083263397217,nt
Ġich,-0.016990577802062035,-0.016990577802062035,0.16673125326633453,Ġich
Ġden,-3.431769847869873,-0.8545403480529785,2.7742152214050293,Ġmit
ĠTag,-0.15077979862689972,-0.15077979862689972,1.1847484111785889,ĠTag
Ġmit,-0.4747939705848694,-0.4747939705848694,1.770873785018921,Ġmit
Ġeiner,-1.5508066415786743,-1.5345426797866821,3.470759868621826,Ġeinem
ĠT,-1.8893566131591797,-1.8893566131591797,5.380693435668945,ĠT
asse,-0.011546333320438862,-0.011546333320438862,0.09574884176254272,asse
ĠTee,-1.3078975677490234,-0.7910919189453125,2.4964046478271484,ĠK
.,-1.1235218048095703,-1.1235218048095703,1.8806989192962646,.
ĠIch,-2.1061501502990723,-2.1061501502990723,4.5044755935668945,ĠIch
Ġbin,-2.756286382675171,-2.0787551403045654,4.167651653289795,Ġtr
Ġjemand,-4.80306339263916,-1.4838074445724487,4.341977119445801,Ġein
",",-0.020526017993688583,-0.020526017993688583,0.1512652337551117,","
Ġder,-0.04118077829480171,-0.04118077829480171,0.3011043667793274,Ġder
Ġviel,-3.925135612487793,-2.402862548828125,4.592408180236816,Ġsich
ĠWert,-2.612847328186035,-0.883796751499176,3.2623162269592285,ĠTee
Ġauf,-0.24739430844783783,-0.24739430844783783,0.6694673299789429,Ġauf
Ġeine,-2.063009023666382,-2.0400922298431396,3.98272705078125,Ġseine
Ġruh,-4.776254177093506,-1.0931315422058105,2.5675151348114014,Ġges
ige,-0.007464849390089512,-0.007464849390089512,0.05659700557589531,ige
ĠM,-3.07611083984375,-0.9719057679176331,2.727923631668091,Ġund
orgen,-0.0056471810676157475,-0.0056471810676157475,0.05132018029689789,orgen
routine,-0.1988440454006195,-0.1988440454006195,0.778393030166626,routine
Ġleg,-0.1259198635816574,-0.1259198635816574,0.6596002578735352,Ġleg
t,-0.0011156531982123852,-0.0011156531982123852,0.009961234405636787,t
.,-0.5246598720550537,-0.5246598720550537,1.1988980770111084,.
ĠEs,-4.3492512702941895,-1.8294910192489624,4.215832710266113,ĠIch
Ġist,-0.9490359425544739,-0.9490359425544739,2.9110617637634277,Ġist
ĠfÃ¼r,-2.4720821380615234,-1.7364253997802734,3.84617280960083,Ġmir
Ġmich,-0.010746818035840988,-0.010746818035840988,0.09816552698612213,Ġmich
Ġsehr,-1.9560199975967407,-1.9560199975967407,3.678661823272705,Ġsehr
Ġwichtig,-0.16135485470294952,-0.16135485470294952,0.8704617023468018,Ġwichtig
",",-0.05298915132880211,-0.05298915132880211,0.4094564914703369,","
Ġdass,-1.2245378494262695,-1.2245378494262695,3.1931610107421875,Ġdass
Ġder,-2.8726954460144043,-0.18112899363040924,0.9501248598098755,Ġich
ĠStart,-4.498077869415283,-0.10594811290502548,0.6085473299026489,ĠTag
Ġin,-0.031574733555316925,-0.031574733555316925,0.24448055028915405,Ġin
Ġden,-0.046299632638692856,-0.046299632638692856,0.28299680352211,Ġden
ĠTag,-0.06726868450641632,-0.06726868450641632,0.36569422483444214,ĠTag
Ġents,-1.6342604160308838,-1.6342604160308838,3.3780055046081543,Ġents
pan,-0.004256831482052803,-0.004256831482052803,0.029650870710611343,pan
